app_id,category,reviews,size,installs,price,suitable_for,last_update,latest_ver,popularity
597367,SOCIAL,30,13M,100+,0,Teen,"May 19, 2018",1.04,High
992194,PERSONALIZATION,69,951k,"1,000+",$0.99,Everyone,"January 12, 2017",1.11,High
626499,GAME,1736105,14M,"10,000,000+",0,Mature 17+,"May 16, 2014",3.0.4,High
384370,FAMILY,285,25M,"10,000+",0,Everyone,"January 5, 2018",1.0.5,High
869502,GAME,148897,46M,"10,000,000+",0,Everyone,"July 17, 2018",1.20.1,High
127488,EDUCATION,61749,5.4M,"1,000,000+",0,Everyone,"December 25, 2017",5.5.2,High
802464,FAMILY,12,12M,"1,000+",0,Teen,"July 4, 2018",1.1,High
988372,SPORTS,1520,6.3M,"50,000+",0,Everyone,"April 17, 2018",3.7,Low
367988,MEDICAL,453,11M,"100,000+",0,Everyone,"July 7, 2017",1.1,High
521796,LIFESTYLE,81,7.7M,"10,000+",0,Everyone,"March 6, 2018",2.0.0.18.03.01,Low
445736,FAMILY,2714,52M,"500,000+",0,Mature 17+,"November 19, 2017",1.1.8,Low
189092,EDUCATION,52743,5.4M,"1,000,000+",0,Everyone,"December 25, 2017",3.5.2,High
57151,FOOD_AND_DRINK,91359,27M,"1,000,000+",0,Everyone,"July 5, 2018",2.0.3,High
778663,HEALTH_AND_FITNESS,8642,18M,"100,000+",0,Everyone,"August 2, 2018",1.20,High
695570,BOOKS_AND_REFERENCE,14773,6.4M,"500,000+",0,Everyone,"October 9, 2017",4.1.92,High
829333,LIFESTYLE,3,8.6M,50+,0,Everyone,"May 23, 2017",1.0,High
762759,NEWS_AND_MAGAZINES,41490,25M,"5,000,000+",0,Teen,"July 24, 2018",4.6.0,Low
657319,COMMUNICATION,2264916,6.1M,"50,000,000+",0,Everyone,"July 31, 2018",5.22.18.0006,High
810836,MEDICAL,78825,11M,"1,000,000+",0,Everyone,"August 2, 2018",1.2.16,High
330244,FAMILY,740,20M,"100,000+",0,Teen,"May 24, 2018",3.3.1.41,Low
186711,BOOKS_AND_REFERENCE,26875,73M,"500,000+",0,Everyone,"August 1, 2018",6.0.8,High
369791,GAME,337752,48M,"5,000,000+",0,Teen,"August 3, 2018",1.11.0,High
701156,MEDICAL,92,32M,"1,000+",$79.99,Everyone,"June 18, 2018",19.0,High
509018,GAME,1015,643k,"100,000+",0,Everyone,"November 11, 2015",1.3,Low
51961,MEDICAL,2,1.2M,500+,$2.99,Everyone,"December 16, 2015",1.0,High
544215,FAMILY,6,5.1M,"1,000+",0,Everyone,"April 1, 2018",1.0,High
478880,BUSINESS,3,11M,100+,0,Everyone,"January 20, 2015",1.0.16,High
474779,GAME,14823,40M,"1,000,000+",0,Teen,"February 15, 2017",4.0,Low
740670,BOOKS_AND_REFERENCE,418,4.2M,"100,000+",0,Everyone,"March 27, 2018",2.1,High
265718,BUSINESS,10295,39M,"100,000+",$4.99,Everyone,"April 11, 2017",3.4.6,High
946830,PRODUCTIVITY,12,2.2M,"1,000+",0,Everyone,"March 26, 2015",1.0.0.0,Low
77551,PHOTOGRAPHY,20,4.3M,"1,000+",$2.99,Everyone,"June 18, 2018",1.4.7,Low
56056,FAMILY,7,2.1M,100+,$3.99,Everyone,"March 23, 2017",1.0,Low
412761,VIDEO_PLAYERS,78,322k,"10,000+",0,Everyone,"September 19, 2013",1.3,Low
475298,TOOLS,85496,5.8M,"1,000,000+",0,Everyone,"February 14, 2018",1.6.2,High
305306,EDUCATION,56065,37M,"1,000,000+",0,Everyone,"July 26, 2018",3.3,High
244501,NEWS_AND_MAGAZINES,124,12M,"10,000+",0,Everyone,"June 29, 2018",4.9.0,Low
182478,SPORTS,97,1.9M,"10,000+",0,Everyone,"June 28, 2017",1.0,High
161957,GAME,3432,99M,"1,000,000+",0,Mature 17+,"January 23, 2017",1.0,High
740625,TOOLS,53,3.4M,"1,000+",$1.49,Everyone,"May 19, 2018",1.91,Low
754087,FINANCE,111254,7.4M,"1,000,000+",0,Everyone,"July 3, 2018",1.8.9,High
532864,HEALTH_AND_FITNESS,199,8.8M,"50,000+",0,Everyone,"July 24, 2018",1.0.7,High
616599,FAMILY,4,8.0M,"1,000+",0,Everyone,"June 8, 2017",1,Low
231180,PHOTOGRAPHY,21841,7.7M,"1,000,000+",0,Everyone,"July 24, 2018",1.6.4,High
275469,FINANCE,78361,22M,"1,000,000+",0,Everyone,"July 5, 2018",1.2.0,High
185456,NEWS_AND_MAGAZINES,12,2.9M,"5,000+",0,Everyone,"February 3, 2018",1.1,High
14585,LIFESTYLE,10544,44M,"1,000,000+",0,Everyone,"June 18, 2018",5.3,High
156532,FAMILY,46741,50M,"10,000,000+",0,Everyone,"August 3, 2018",1.73,High
459715,MEDICAL,2570,3.8M,"100,000+",0,Everyone,"May 10, 2017",1.2.6,High
230529,GAME,7687,23M,"100,000+",$1.99,Everyone,"February 27, 2017",2.3.1,High
852009,SOCIAL,271445,9.9M,"5,000,000+",0,Everyone,"June 24, 2018",4.1.1,High
751355,BEAUTY,26834,57M,"1,000,000+",0,Everyone,"July 24, 2018",18.5,High
990844,BOOKS_AND_REFERENCE,2539,8.6M,"500,000+",0,Everyone,"July 26, 2018",1.1.6,Low
890582,FAMILY,3,4.0M,100+,0,Everyone,"August 1, 2018",1.0.5,High
954754,HEALTH_AND_FITNESS,32,9.6M,"1,000+",0,Everyone,"May 22, 2018",5.9,Low
910939,FAMILY,1109,52M,"1,000,000+",0,Everyone,"July 18, 2018",1.0.6,High
641910,SHOPPING,37253,31M,"1,000,000+",0,Everyone,"August 3, 2018",4.31.2,High
541504,HEALTH_AND_FITNESS,121838,15M,"5,000,000+",0,Everyone,"May 23, 2018",5.5.1,High
180064,PRODUCTIVITY,617,46M,"100,000+",0,Everyone,"April 17, 2018",1.5.3,Low
979387,DATING,776,4.9M,"5,000+",0,Mature 17+,"July 14, 2018",8.2,High
35106,FAMILY,472,4.3M,"10,000+",0,Everyone,"July 6, 2018",2.4.1,High
195051,TOOLS,1456,15M,"50,000+",0,Everyone,"November 14, 2016",1.2,High
103877,BOOKS_AND_REFERENCE,111,10M,"5,000+",0,Everyone,"May 21, 2018",1.6.2,High
40966,TOOLS,2,1.6M,100+,0,Everyone,"February 12, 2015",1.3,High
940083,NEWS_AND_MAGAZINES,327,31M,"10,000+",0,Everyone,"June 26, 2018",4.0.9,High
817994,FAMILY,4,3.6M,100+,0,Everyone,"July 6, 2018",1.0,High
941701,MEDICAL,2,20M,100+,0,Everyone 10+,"September 21, 2017",1.8.3,High
127984,FAMILY,1007,5.2M,"100,000+",0,Everyone,"July 1, 2018",7.0,High
923307,BOOKS_AND_REFERENCE,67186,6.3M,"1,000,000+",0,Everyone 10+,"May 18, 2018",4.4.10,High
939561,FINANCE,204,29M,"10,000+",0,Everyone,"May 9, 2018",18.1.79,Low
586323,TRAVEL_AND_LOCAL,69,31M,"10,000+",0,Everyone,"June 11, 2018",3.4.1,Low
774094,BEAUTY,964,9.0M,"50,000+",0,Everyone,"June 21, 2018",4.0,High
638448,AUTO_AND_VEHICLES,7021,17M,"500,000+",0,Everyone,"July 27, 2018",1.79,High
87899,FAMILY,22290,13M,"500,000+",0,Everyone,"August 5, 2018",18.08.05,High
896326,HEALTH_AND_FITNESS,1026,29M,"10,000+",$3.99,Everyone,"May 15, 2018",1.0.6,High
392447,FINANCE,49275,91M,"500,000+",0,Everyone,"July 17, 2018",2.0.3.1,High
959937,FAMILY,18612,8.5M,"100,000+",$1.49,Everyone,"July 28, 2015",1.57,High
435074,PERSONALIZATION,29485,9.9M,"1,000,000+",0,Everyone,"July 20, 2018",1.0.4,High
898166,BOOKS_AND_REFERENCE,15,12M,"1,000+",0,Everyone,"November 17, 2017",1.2,Low
101207,MEDICAL,6,16M,500+,0,Everyone,"August 4, 2018",,High
830831,SOCIAL,3640,9.1M,"500,000+",0,Mature 17+,"June 13, 2016",3.1.9,Low
270263,FAMILY,4,3.6M,100+,$1.49,Teen,"March 4, 2017",1.3.5,High
337893,TOOLS,163997,16M,"10,000,000+",0,Everyone,"August 5, 2018",5.36,Low
436530,MEDICAL,1686,15M,"100,000+",0,Everyone,"July 30, 2018",2.9,High
984105,FAMILY,54,50M,"1,000+",$19.40,Everyone,"November 18, 2017",3.1.2,High
132889,NEWS_AND_MAGAZINES,46,46M,"1,000+",0,Everyone,"May 1, 2017",1.0.1,High
337442,FINANCE,64959,39M,"1,000,000+",0,Everyone,"June 18, 2018",5.0.1,High
80173,FINANCE,6,6.2M,500+,0,Everyone,"August 3, 2018",2.0.10,High
889657,VIDEO_PLAYERS,32,33M,"5,000+",0,Everyone,"July 9, 2018",3.1.0,Low
899888,FAMILY,12,4.0M,"1,000+",0,Everyone,"May 25, 2018",3.0.18,High
483069,NEWS_AND_MAGAZINES,636,1.4M,"100,000+",0,Everyone,"June 8, 2018",1.12.2,Low
179348,HEALTH_AND_FITNESS,130104,25M,"10,000,000+",0,Everyone,"August 3, 2018",5.3,High
220548,FAMILY,2580,53M,"100,000+",0,Everyone,"July 6, 2018",10,Low
95992,BOOKS_AND_REFERENCE,2084,6.7M,"500,000+",0,Everyone,"May 17, 2018",15.0,High
231610,PERSONALIZATION,16,3.7M,"1,000+",0,Everyone,"August 1, 2018",2.3.0,High
401887,GAME,144,6.3M,"1,000+",$6.99,Everyone,"May 15, 2018",1.0.9,High
726266,TOOLS,12759663,15M,"100,000,000+",0,Everyone,"July 25, 2018",3.1.2,High
63668,MEDICAL,5,28M,100+,0,Everyone,"September 21, 2017",300000.0.90,High
70241,COMMUNICATION,10,3.8M,100+,$1.49,Everyone,"May 12, 2018",2.1.4,Low
400387,PRODUCTIVITY,93,14M,"1,000+",0,Everyone,"July 17, 2018",2.3.14,High
226466,PHOTOGRAPHY,3378,30M,"1,000,000+",0,Mature 17+,"July 25, 2018",1.7,High
598515,TRAVEL_AND_LOCAL,14,4.0M,"1,000+",0,Everyone,"April 12, 2018",1.0,High
949103,FAMILY,606,42M,"50,000+",0,Everyone 10+,"August 16, 2016",1.2,Low
976437,SOCIAL,20,4.2M,10+,0,Teen,"July 23, 2018",1.0,High
656138,FAMILY,13,13M,"1,000+",0,Everyone,"November 20, 2017",1.0.6,High
466208,PRODUCTIVITY,12,15M,"1,000+",0,Everyone,"February 24, 2017",1.2,High
201216,WEATHER,25243,26M,"100,000+",$2.99,Everyone,"August 1, 2018",4.34.0,High
756173,FAMILY,3,2.0M,"1,000+",0,Everyone,"August 10, 2017",1.0,High
308642,SPORTS,161423,73M,"5,000,000+",0,Everyone,"August 1, 2018",6.5.3,High
141819,PERSONALIZATION,102923,18M,"1,000,000+",0,Everyone,"July 10, 2018",2.1.2,High
417384,GAME,33,3.1M,"1,000+",0,Everyone,"December 25, 2017",1.10,Low
719238,PRODUCTIVITY,27820,4.7M,"1,000,000+",0,Everyone,"July 29, 2018",2.1,High
132434,DATING,110,4.9M,"10,000+",0,Mature 17+,"July 9, 2018",8.2,High
194771,MEDICAL,1838,21M,"100,000+",0,Everyone,"July 2, 2018",2.11.0,Low
745996,GAME,1432809,29M,"10,000,000+",0,Mature 17+,"July 29, 2018",3.3,High
426980,SOCIAL,2,2.4M,500+,0,Everyone,"July 15, 2016",3.7.5,High
483029,LIFESTYLE,10198,2.2M,"100,000+",0,Everyone,"August 21, 2017",1.10,High
484346,GAME,1418,26M,"10,000+",0,Teen,"May 30, 2018",1.2.1,High
24118,FOOD_AND_DRINK,41,4.0M,500+,0,Teen,"July 17, 2018",1.0,High
443737,TOOLS,427,9.5M,"100,000+",0,Everyone,"May 4, 2018",1.7.6,Low
525268,BOOKS_AND_REFERENCE,24278,3.1M,"1,000,000+",0,Everyone,"December 27, 2017",2.1.2,High
315963,TOOLS,2176,953k,"100,000+",0,Everyone,"August 1, 2018",1.5.1,High
123547,FAMILY,227,15M,"50,000+",0,Everyone,"February 24, 2018",1.0,High
148352,FAMILY,45458,35M,"1,000,000+",0,Mature 17+,"August 3, 2018",1.5.49,High
279576,MEDICAL,315,22M,"100,000+",0,Everyone,"October 10, 2017",1.0.02,Low
813442,FINANCE,8,3.1M,500+,0,Everyone,"February 9, 2018",1.2,High
113207,DATING,31320,53M,"5,000,000+",0,Mature 17+,"July 30, 2018",6.6.5,Low
817424,NEWS_AND_MAGAZINES,9,6.3M,"1,000+",0,Everyone,"April 26, 2018",1.0,High
848755,TOOLS,28030,9.0M,"1,000,000+",0,Everyone,"August 2, 2018",4.4.4,High
786658,MEDICAL,51,2.4M,"1,000+",$29.99,Everyone,"October 22, 2014",2.0.2,Low
413047,BOOKS_AND_REFERENCE,55011,68M,"1,000,000+",0,Everyone,"November 2, 2017",1.1.3,High
87565,PHOTOGRAPHY,7594559,34M,"100,000,000+",0,Teen,"August 6, 2018",9.40.3,High
373037,TOOLS,67,65M,"10,000+",0,Everyone,"June 2, 2017",1.0.8,Low
762350,GAME,132282,20M,"1,000,000+",0,Everyone,"July 31, 2018",15.0,High
653886,LIFESTYLE,377,6.1M,"100,000+",0,Everyone,"March 21, 2017",1.1.4,Low
769410,BUSINESS,322,1.5M,"50,000+",0,Everyone,"March 28, 2017",2.13,Low
580224,SHOPPING,35497,16M,"1,000,000+",0,Everyone,"July 11, 2018",4.16.0,High
185235,TRAVEL_AND_LOCAL,3,2.4M,100+,0,Everyone,"November 28, 2016",1.1,High
231297,FINANCE,4,5.1M,50+,0,Everyone,"May 23, 2018",1.0.17.0423,High
530470,FAMILY,227401,91M,"5,000,000+",0,Everyone,"July 19, 2018",1.5.0,High
727216,PERSONALIZATION,4,1.7M,10+,0,Everyone,"February 28, 2018",1.1,High
604314,FOOD_AND_DRINK,42,3.9M,100+,0,Teen,"July 18, 2018",1.0,High
870951,COMMUNICATION,497,36M,"100,000+",0,Everyone,"July 17, 2018",8.6.2,Low
609279,MEDICAL,30,887k,500+,0,Everyone,"May 27, 2016",1.1,Low
327774,GAME,1692,36M,"10,000+",$4.99,Everyone,"April 23, 2018",1.1.0,High
337682,PERSONALIZATION,2,10M,500+,0,Mature 17+,"June 10, 2018",1.3,High
607054,AUTO_AND_VEHICLES,116986,35M,"5,000,000+",0,Everyone,"August 2, 2018",1.9.7,High
63452,FAMILY,31596,31M,"5,000,000+",0,Teen,"December 23, 2016",1.5,Low
781406,MAPS_AND_NAVIGATION,796,25M,"50,000+",0,Everyone,"May 18, 2018",6.7.0,High
39722,LIFESTYLE,66,8.1M,"1,000+",0,Everyone,"July 18, 2018",1.0,High
748551,PERSONALIZATION,4724,5.4M,"1,000,000+",0,Everyone,"July 30, 2018",1.2,High
942629,TOOLS,27,5.0M,"5,000+",0,Everyone,"May 31, 2018",10.1.0,Low
404549,TOOLS,47,17M,"1,000+",0,Everyone,"April 10, 2018",1.0.19,High
683389,SHOPPING,4,1.2M,"1,000+",0,Everyone,"July 1, 2018",10.0,Low
163883,HEALTH_AND_FITNESS,44,49M,"1,000+",0,Everyone,"August 1, 2018",1.0.1,Low
780723,FINANCE,13819,3.9M,"1,000,000+",0,Everyone,"July 4, 2018",3.3,High
711980,FAMILY,20843,14M,"1,000,000+",0,Teen,"August 2, 2018",3.3.85.2,Low
245494,NEWS_AND_MAGAZINES,27,7.1M,500+,0,Everyone,"May 6, 2018",7.5.0,High
835676,HEALTH_AND_FITNESS,71269,49M,"1,000,000+",0,Everyone,"March 30, 2018",2.3.2,High
278417,MEDICAL,35,24M,"1,000+",$15.46,Everyone,"May 27, 2015",2.0.3,Low
404206,GAME,280098,50M,"10,000,000+",0,Everyone,"July 20, 2018",2.11.2,High
317556,FAMILY,4,5.8M,100+,0,Everyone,"April 11, 2018",1.0.1,High
50959,PHOTOGRAPHY,2,7.5M,500+,0,Everyone,"January 8, 2018",1.0,High
717456,BOOKS_AND_REFERENCE,3234,85M,"100,000+",0,Everyone,"December 26, 2017",1.7.22,High
812891,PHOTOGRAPHY,12572,8.5M,"1,000,000+",0,Everyone,"March 14, 2018",1.31,High
549835,HEALTH_AND_FITNESS,3,9.4M,100+,0,Everyone 10+,"June 28, 2018",7.4.8,Low
636080,FAMILY,19230,45M,"5,000,000+",0,Everyone,"July 12, 2018",8.25.10.01,High
134788,FAMILY,106,3.9M,"10,000+",0,Everyone,"November 19, 2016",1.1,High
781721,COMMUNICATION,115,2.8M,"5,000+",0,Everyone,"July 15, 2016",1.4.4,High
443397,FAMILY,79,33M,"5,000+",0,Everyone,"May 27, 2015",1.03,Low
840213,PRODUCTIVITY,48,7.3M,"1,000+",0,Everyone,"November 22, 2017",1.2.3,High
579331,EDUCATION,10852,18M,"1,000,000+",0,Everyone,"November 28, 2017",10,High
198888,TOOLS,35,916k,"1,000+",0,Everyone,"October 23, 2017",0.2,Low
570348,FINANCE,139,3.3M,"10,000+",0,Everyone,"June 19, 2017",3.0.5,Low
104049,SPORTS,1312936,21M,"10,000,000+",0,Everyone,"July 31, 2018",3.4.06,High
865878,BUSINESS,2,23M,50+,0,Everyone,"July 24, 2018",1.29,High
612859,HEALTH_AND_FITNESS,224,371k,"10,000+",0,Everyone,"July 9, 2014",1.2.6,Low
248685,LIFESTYLE,275,3.9M,"5,000+",$2.99,Everyone,"July 17, 2018",2.8.3,High
224113,FAMILY,9126,5.8M,"1,000,000+",0,Everyone,"June 8, 2016",1.0.9,Low
47740,SHOPPING,104068,37M,"5,000,000+",0,Teen,"August 1, 2018",4.5.1,High
109993,SOCIAL,22098,18M,"1,000,000+",0,Everyone,"July 24, 2018",4.2.4,High
446241,SHOPPING,2278,12M,"500,000+",0,Everyone,"July 15, 2018",3.28.1.3.1359,High
898282,FAMILY,50060,98M,"1,000,000+",0,Everyone,"August 7, 2018",1.4.83,High
509632,TRAVEL_AND_LOCAL,17882,86M,"1,000,000+",0,Everyone,"August 3, 2018",3.4.5,High
583719,FAMILY,33,3.3M,100+,0,Everyone,"November 18, 2017",1.0,High
60058,FAMILY,3136,2.7M,"100,000+",0,Everyone,"June 27, 2018",2.19.6,High
221088,BOOKS_AND_REFERENCE,659,5.0M,"10,000+",0,Everyone,"August 28, 2017",4.4.5,High
162706,LIFESTYLE,206,3.9M,"1,000+",0,Everyone,"June 20, 2017",2.3.13,High
936222,BOOKS_AND_REFERENCE,50,4.9M,"1,000+",$1.99,Everyone,"February 22, 2017",2.0,Low
528712,FAMILY,65,55M,"5,000+",0,Everyone,"November 19, 2017",1.0,High
712769,TOOLS,30,22M,"5,000+",0,Everyone,"June 7, 2017",1.2.2,Low
414586,FAMILY,100,10M,"1,000+",0,Everyone,"May 6, 2018",3.1.1,High
470601,SPORTS,29673,57M,"1,000,000+",0,Mature 17+,"August 6, 2018",2.46.1,High
152576,MEDICAL,1,29M,50+,0,Everyone,"June 27, 2017",7.9.0.5192,Low
153799,TOOLS,13,3.0M,"1,000+",0,Everyone,"July 18, 2017",1.01,Low
822957,PERSONALIZATION,60,78M,"1,000+",$0.99,Everyone,"July 29, 2018",4.0.1,High
396835,BUSINESS,4,12M,100+,0,Everyone,"November 6, 2017",1.0.4,High
361926,AUTO_AND_VEHICLES,46,6.6M,"1,000+",0,Everyone,"June 26, 2018",3.4,Low
45962,LIFESTYLE,12,1.2M,100+,$0.99,Teen,"March 25, 2014",1.0,High
618129,FAMILY,4114,14M,"100,000+",0,Everyone,"July 10, 2018",3.29,Low
105401,FAMILY,773,55M,"100,000+",0,Everyone,"August 22, 2017",1.0.1,High
696116,BUSINESS,87,26M,"5,000+",0,Everyone,"April 26, 2018",1.6.0.0,Low
855607,TOOLS,472,2.0M,"100,000+",0,Everyone,"October 17, 2017",1.3,Low
523823,SHOPPING,4,1.6M,"1,000+",0,Everyone,"May 16, 2016",1.3,High
855415,SHOPPING,308234,38M,"10,000,000+",0,Everyone,"August 2, 2018",5.3.0,High
625290,PHOTOGRAPHY,13,7.9M,"1,000+",0,Everyone,"January 29, 2018",1.2.0.9,Low
362083,PERSONALIZATION,8642,3.7M,"500,000+",0,Everyone,"May 22, 2018",1.1.6,High
701487,FINANCE,8662,38M,"100,000+",0,Everyone,"July 20, 2018",2.5.7,High
460824,PRODUCTIVITY,72513,12M,"5,000,000+",0,Everyone,"July 18, 2018",5.0.1.11068,High
208649,GAME,17,4.7M,100+,$14.00,Teen,"July 9, 2017",1.1.10,High
797667,SPORTS,1,6.3M,10+,0,Everyone,"May 26, 2015",4.1.1,High
491577,FAMILY,5591653,95M,"50,000,000+",0,Everyone 10+,"July 18, 2018",35.119,High
248205,FAMILY,6673,4.4M,"500,000+",0,Everyone,"September 23, 2016",1.0.7,High
326191,FAMILY,22,2.2M,100+,0,Mature 17+,"November 2, 2017",1.4,High
926729,FAMILY,7,5.6M,10+,0,Everyone,"December 7, 2017",1.0,High
569710,PRODUCTIVITY,3362,756k,"50,000+",0,Everyone,"November 21, 2017",1.7,High
79015,EDUCATION,21,44M,"1,000+",$5.99,Everyone,"July 21, 2017",1.3,High
772059,FAMILY,1491,38M,"50,000+",0,Everyone,"October 31, 2017",1.3,High
302338,TOOLS,43,2.3M,"5,000+",0,Everyone,"October 10, 2017",3.1.8,Low
62377,GAME,10393,18M,"1,000,000+",0,Everyone,"July 11, 2018",2.2.3181,High
564032,EDUCATION,3528,24M,"100,000+",$3.99,Everyone,"June 12, 2018",1.1.1,High
311736,LIFESTYLE,19,11M,500+,0,Everyone,"March 1, 2018",1.1,High
562760,FAMILY,2354042,72M,"50,000,000+",0,Everyone 10+,"July 3, 2018",4.2.0,High
898036,HEALTH_AND_FITNESS,31139,6.9M,"1,000,000+",0,Everyone,"July 24, 2018",1.0.11,High
404056,FAMILY,47,3.3M,"5,000+",0,Everyone,"August 1, 2018",1.1,High
727507,PERSONALIZATION,561,41M,"10,000+",0,Everyone,"December 4, 2014",1.05,High
627304,FAMILY,2,6.6M,500+,0,Everyone,"January 31, 2018",1.0.9,High
31186,SOCIAL,308,454k,"10,000+",0,Everyone,"June 10, 2015",1.0,High
286988,COMMUNICATION,191032,26M,"5,000,000+",0,Everyone,"August 4, 2018",7.2.29,High
717200,FAMILY,1242,14M,"50,000+",0,Everyone,"April 24, 2018",1.7.0,Low
14539,FAMILY,76608,24M,"1,000,000+",0,Everyone 10+,"January 5, 2017",1.3.1,High
658622,FINANCE,175,12M,"10,000+",0,Everyone,"August 3, 2018",2.2.0,High
931680,HEALTH_AND_FITNESS,10,3.3M,"1,000+",0,Everyone,"April 5, 2018",1.8,Low
547020,PRODUCTIVITY,2965,2.4M,"100,000+",0,Everyone,"May 10, 2015",1.1.3,High
383210,GAME,3778921,75M,"100,000,000+",0,Everyone,"July 26, 2018",3.8.5,High
282121,SPORTS,990,9.4M,"100,000+",0,Everyone,"July 18, 2018",2.28.1,High
168542,FAMILY,7881,53M,"500,000+",0,Everyone,"May 6, 2018",7.0,High
637581,GAME,32,24M,"1,000+",0,Teen,"July 11, 2018",0.24,High
474537,LIFESTYLE,1658,9.7M,"100,000+",0,Everyone,"July 31, 2018",2.0.9,High
164989,SHOPPING,44588,20M,"5,000,000+",0,Everyone,"July 12, 2018",9.0.0,High
262601,FINANCE,413,13M,"10,000+",0,Everyone,"May 30, 2018",5.9.1.0,High
739302,ART_AND_DESIGN,118,23M,"50,000+",0,Everyone,"July 7, 2018",1.1.3,High
434535,GAME,1475,34M,"10,000+",$4.99,Teen,"January 2, 2018",1.0.4,High
599393,PRODUCTIVITY,63,1.8M,"5,000+",0,Everyone,"September 27, 2016",2.0.1027,Low
996873,EVENTS,120,5.1M,"10,000+",0,Everyone,"July 25, 2018",2.5,High
479200,DATING,5,4.4M,"1,000+",0,Mature 17+,"July 17, 2018",3.0,High
